id,title,gender,origin_id,meaning,used_in,additional_info
302,Avril,Girl,17,April,English speaking countries,"The French word for ""April."" Popularized recently by singer Avril Lavigne."
303,Axel,Boy,23,Father of peace,Danish and English speaking countries,"An axle (or an axel) is the shaft on which a rotating wheel or gear turns. There is an axel jump in gigure skating, named after Norwegian Axel Paulsen who was the first person to execute the jump in 1882.<br />
<br />
Axel F is the name of the song remi"
304,Ayana,Girl,2,Beautiful blossom,African and English speaking countries,Variant of Ayanna.
305,Ayanna,Girl,2,Beautiful blossom,English speaking countries,This name is of East African origin.
306,Aydan,Both,18,Little fire,English and Turkish speaking countries,"Aydan is a respelling of Aidan, the standard anglicization of the Gaelic Aodhán. In Turkish it is an unrelated female name."
307,Ayden,Boy,18,Little fire,English speaking countries,"Ayden is a respelling of the Gaelic Aodhán, possibly influenced by the English ""Hayden."""
308,Aydin,Boy,45,Intelligent; erudite,English and Turkish speaking countries,"Aydin is a Turkish name meaning ""intelligent"" or ""learned,"" but it is also sometimes used as an alternate spelling of Aidan or Aodhán."
309,Ayesha,Girl,3,Alive; she who lives,Arabic and English speaking countries,
310,Ayla,Girl,23,Oak tree,English and Turkish speaking countries,"English transcription of Hebrew Elah, meaning ""Oak tree"", ""pistachio tree"" or ""terebinth tree"". Another recorded Hebrew meaning is ""goddess"".  Ayla is also a Turkish name derived from the term ""ay,"" meaning ""moon.""  It is often claimed that Ayla literally"
311,Aylin,Girl,18,Form of Helen; Evelyn; Aveline; pleasant,English speaking countries,Respelling of Aileen.
312,Aysha,Girl,3,Alive; she who lives,English speaking countries,
313,Baby,Both,15,Baby,English speaking countries,"Part of the trend of using nouns as names. Often times, when parents cannot or do not make a name choice for their child, ""baby"" is given as the official name on the birth certificate, only to change later when a name is selected.  This is such a common o"
314,Bailey,Both,15,Bailiff,English speaking countries,"A bailey can also mean the outer wall of a castle, or the courtyard between the two outer walls of a castle.<br />
<br />
Baileys Irish Cream is a whiskey and cream alcoholic drink.<br />
<br />
Bailey features in the top 30 most popular names of most"
315,Bambi,Girl,25,Little girl,English speaking countries,
316,Barbara,Girl,21,"Foreign, strange","English, Italian and Polish speaking countries","The patron saint of miners, sailors and architects, St. Barbara is called upon to defend them against untimely death like lightning strikes.<br />
<br />
Barbara of Portugal was the Queen consort of Spain in the 18th century. She had, in total, 8 baptis"
317,Baron,Boy,20,Freeman,English speaking countries,"A baron is the lowest grade or title in the English aristocracy.<br />
<br />
Baron William is the name of Donald Trump's son with wife Melania."
318,Barrett,Boy,19,Bear-brave,English speaking countries,"From the Germanic element 'ber' (bear), from Middle English 'barrette' (troubl, strife) or from the Old French 'barette' (cap). Now mainly in use as a surname."
319,Barry,Boy,18,Spear,English speaking countries,Also an anglicisation of Fionbharr.
320,Bart,Boy,21,Son of Talmai,English speaking countries,A nickname for Bartholomew and similar names.
321,Baylee,Girl,15,Bailiff,English speaking countries,Respelling of Bailey.
322,Beatrice,Girl,27,Voyager through life,"English, French, German and Italian speaking countries","Italian and French form of Beatrix, which is probably a form of the early Christian name Viatrix, altered to incorporate the Latin 'beatus' (blessed).<br />
<br />
Beatrice is a character of Shakespeare's play ""Much Ado About Nothing"". It was also the n"
323,Beatriz,Girl,27,Voyager (through life),English and Spanish speaking countries,
324,Beau,Boy,17,Handsome,English speaking countries,"French word for ""handsome"" (and therefore never used in French spaking countires as a given name) and American slang for ""boyfriend"". Its use as a first name likely came from a shortening of a surname such as Beauchamp or Beaufort in order to honor someon"
325,Beck,Boy,15,Dweller near the brook,English speaking countries,Transferred use of the Scandinavian surname
326,Beckett,Boy,15,Bee cottage,English speaking countries,
327,Becky,Girl,23,To tie,English speaking countries,Nickname for Rebecca.
328,Belinda,Girl,27,Beautiful serpent,English speaking countries,"The origin and meaning of Belinda is still uncertain, but it very likely comes from the Germanic lindi meaning ""serpent"" and Latin bellus meaning ""beautiful."" <br />
<br />
Belinda loses a lock of her hair in Alexander Pope's satirical poem ""The Rape of"
329,Bella,Girl,23,My God is a vow,English speaking countries,"Short form of '-bella' names such as Isabella or Annabella. It is also the Italian and Spanish feminine adjective for 'beautiful'.<br />
<br />
'Bella' was the name of a 2006 film by Alejandro Gomez Monteverde.<br />
<br />
Bearers include American po"
330,Belle,Girl,17,Beautiful,English speaking countries,"Belle can be a name on its own, or can be a nickname for names like Annabelle, Adabelle, Isabelle, etc.<br />
<br />
Belle was the name of the main character in Disney's movie ""Beauty and the Beast."""
331,Ben,Boy,23,Son,English and Hebrew speaking countries,"The male name Ben is from the Hebrew meaning ""son"", mentioned in the Old Testament.<br />
Ben is also used as a nickname for Benjamin, the Anglicized form of Binyamin, meaning ""son of my right hand"". In the Bible, Benjamin was the youngest son of Jacob.<"
332,Benedict,Boy,27,Blessed,English speaking countries,
333,Benito,Boy,27,Blessed,English speaking countries,
334,Benjamen,Boy,23,Son of my right hand,English speaking countries,
335,Benjamin,Boy,23,Son of my right hand,English and Hebrew speaking countries,"Benjamin is the anglicized form of the Hebrew Binyamin. In the Old Testament, Benjamin was the twelfth and youngest son of Jacob. Benjamin was the 24th most popular boy's name in the US in 2006, and the 11th most popular in the UK. It is also commonly fou"
336,Bennett,Boy,27,Blessed,English speaking countries,
337,Bennie,Both,23,Son of my right hand,English speaking countries,Nickname for Ben- names.
338,Benny,Boy,23,Son of my right hand,English speaking countries,Nickname for Ben- names.
339,Benson,Boy,15,Son of Benedict,English speaking countries,
340,Berenice,Girl,21,Victory bringer,English and French speaking countries,"Berenice is the name of several Ptolemaic and Seleucid queens in Cyrenaica and Egypt and of two Judean princesses.<br />
<br />
""Bérénice"" is a tragedy by the French 17th-century dramatist Jean Racine.<br />
The subject was taken from the Roman histori"
341,Bernadette,Girl,20,Bear brave; brave like a bear,English and French speaking countries,"Feminine form of Bernard.<br />
Bernadette was a popular name in the 1950s that is now out of fashion in France."
342,Bernard,Boy,20,Bear brave; brave like a bear,"Dutch, English, German and Polish speaking countries",There have been various saints named Bernard. The St Bernard dogs are named for St Bernard of Menthon who established a hospice on what is now known as the St Bernard Pass. This is the pass over the Pennine Alps of Switzerland and Italy. The dogs were use
343,Bernardo,Boy,20,Bear brave; brave like a bear,"English, Italian, Portuguese and Spanish speaking countries","Italian, Spanish and Portuguese form of Bernard."
344,Bernice,Girl,21,Victory bringer,English speaking countries,
345,Bert,Boy,20,Bright,"Dutch, English and Polish speaking countries",Often used as a nickname for names containing -bert-.  It is the name of a saint as well as the name of a character in Sesame Street.
346,Bertha,Girl,20,Famous; bright,English speaking countries,
347,Beth,Girl,23,My God is a vow,English speaking countries,Nickname for Elizabeth or Bethany.
348,Bethan,Girl,23,God is my solemn vow,English and Welsh speaking countries,Welsh short form of Elizabeth.
349,Bethany,Girl,23,House of figs,English speaking countries,"Biblically, the village of Bethany was identified as being approximately 2 miles from Jerusalem, on the slope of the Mount of Olives. It was in Bethany that Jesus raised Lazarus from the dead, and was anointed with expensive perfume by a woman. A religiou"
350,Betsy,Girl,23,My God is a vow,English speaking countries,"Nickname for Elizabeth.<br />
<br />
Hurricane Betsy, which occurred in 1965, was the first American hurricane to cause more than a billion dollars of damage.<br />
<br />
Notable bearers include actress Betsy Blair and Betsy Ross, who supposedly sewe"
351,Betty,Girl,23,My God is a vow,English speaking countries,Nickname for Elizabeth.
352,Beverly,Both,15,Beaver stream,English speaking countries,
353,Beyonce,Girl,15,N/A,English speaking countries,Beyonce is a modern invention and comes from the French surname Beyincé. Beyonce has been made popular by actress and singer Beyonce Knowles.
354,Bianca,Girl,25,White; fair,English and Italian speaking countries,"Italian feminine adjective for 'white', from bianco. <br />
<br />
Shakespeare used this name in 'The Taming of the Shrew', for a character who cannot marry until her sister Kate does, and  'Othello', for a courtesan . <br />
<br />
Model and human ri"
355,Bilal,Boy,3,Wetting; refreshing,Arabic and English speaking countries,
356,Bill,Boy,20,"Will, desire + helmet, protection",English speaking countries,"Nickname for William. There are many famous bearers who go by the name ""Bill"" including comedian Bill Murray, 42nd US President William ""Bill"" Clinton, philanthropis and chairman of Microsoft Bill Gates, comedian Bill Cosby and political commentator and p"
357,Billie,Both,20,"Will, desire + helmet, protection",English speaking countries,
358,Billy,Boy,20,"Will, desire + helmet, protection",English speaking countries,Nickname for William.
359,Bishop,Boy,15,Overseer,English speaking countries,"Of ultimately Greek origins, brought to English via Latin."
360,Blaine,Boy,18,Yellow,English speaking countries,
361,Blair,Both,18,Plain,English speaking countries,"The meaning of ""plain"", suggests that Blair is someone who comes from the plains, and not that he is plain-looking.<br />
<br />
In recent years, Blair has gained popularity as a girl's name."
362,Blaise,Boy,27,Stuttering,English and French speaking countries,"From the Latin  ""blaesus"" (to stutter; to stammer)."
363,Blake,Boy,15,Dark; bright,English speaking countries,"Either from the Old English 'blæc' (black, dark) or 'blac' (bright, shining). Originally a surname this is now also used as a given name. Blake's 7 was a British science fiction TV series, shown in the late 1970s. The main character was named Roj Blake.<b"
364,Blanca,Girl,42,White,English and Spanish speaking countries,"Spanish feminine adjective for 'white', from blanco."
365,Blaze,Boy,27,Stuttering,English speaking countries,St. Blaze is the patron saint of sore throats!
366,Bo,Boy,17,Handsome,English speaking countries,"Possibly a respelling of Beau meaning ""handsome.""  Also a nickname for Boaz which means ""fleetness."""
367,Bobbi,Both,20,Bright fame,English speaking countries,Nickname for Robert.
368,Bobbie,Both,20,Bright fame,English speaking countries,Nickname for Robert or Roberta.
369,Bobby,Both,20,Bright fame,English speaking countries,Nickname for Robert or Roberta.
370,Bonnie,Girl,15,Pretty,English speaking countries,From the Scottish dialect word meaning 'pretty'.
371,Boston,Boy,15,Botolph's town,English speaking countries,"Boston is the capital of Massachusetts, USA.  Its name is a contraction of ""Botolph's town""; St. Botolph is an English patron saint of farmers and the Danish patron saint of travellers."
372,Bowen,Boy,48,Son of Owen,English and Welsh speaking countries,
373,Brad,Boy,15,Broad wood,English speaking countries,Nickname for Bradley. Borne by popular American actor Brad Pitt.
374,Braden,Boy,15,"Broad, wide",English speaking countries,"Braden can come from an Old English word meaning ""broad"" or ""wide,"" and can also be derived from the Irish surname ""O Bradáin,"" meaning ""son of the salmon."""
375,Bradford,Boy,15,Broad ford,English speaking countries,"Surname from the Old English words 'brad' (broad) and 'ford' (ford). Several places in England bear this name, the largest being a city in West Yorkshire."
376,Bradley,Both,15,Broad wood,English speaking countries,"English and Scottish surname from the Old English words 'brad' (broad) and 'leah' (wood, clearing).<br />
<br />
The Bradley method is a way of natural childbearing developed by obstetrician Robert Bradley. More about it can be found on our sister site,"
377,Bradly,Boy,15,Broad wood,English speaking countries,Variant spelling of the surname Bradley.
378,Brady,Boy,18,Descendant of Brádach,English speaking countries,Brady is a surname that has recently come into use as a first name. 'The Brady Bunch' was a 1970s TV show which aimed to present the challenges involved in blending a family - Mike Brady and his three sons having Carol Martin and her three daughters join
379,Bradyn,Boy,15,"Broad, wide",English speaking countries,
380,Braedan,Boy,15,"Broad, wide",English speaking countries,One of the many variations of Brayden.
381,Braeden,Boy,15,"Broad, wide",English speaking countries,
382,Braedon,Boy,15,"Broad, wide",English speaking countries,
383,Braelyn,Girl,15,N/A,English speaking countries,"A modern coinage, perhaps a combination of the masculine name Braden and the popular suffix -lyn."
384,Braiden,Both,15,"Broad, wide",English speaking countries,
385,Branden,Boy,15,Broom hill,English speaking countries,
386,Brandi,Girl,15,Burning wine,English speaking countries,Respelling of the name of the alcoholic drink brandy.
387,Brandon,Boy,15,Broom hill,English speaking countries,"Originally a surname which was derived from a place name meaning ""broom hill"" in Old English.  Brandon is the name of the second-largest city in the Canadian province of Manitoba, and is the name of several towns throughout the U.S. and U.K."
388,Brandt,Boy,20,Sword,English and German speaking countries,
389,Brandy,Girl,15,Burning wine,English speaking countries,"Brandy is a spirit made from distilled wine or fermented fruit juices.  The name ""Brandy"" can also be taken as a feminine form of ""Brandon,"" though it is usually taken more literally as the alcoholic beverage."
390,Brandyn,Boy,15,Broom hill,English speaking countries,Brandyn is a modern respelling of Brandon.
391,Brannon,Boy,18,Son of Bran,English speaking countries,
392,Branson,Boy,20,Sword,English speaking countries,Most known as the name of a popular tourist town in Missouri.
393,Brant,Boy,20,Sword,English and German speaking countries,
394,Brantley,Boy,20,Sword,English speaking countries,"Anglicized spelling of Swiss German Brändle and Brändli, topographic names for someone who lived near a place where there had been a forest fire or in an area of town that had been burned down.  It has also been used in the Midlands of the UK as a surname"
395,Braulio,Boy,20,"Shining, firey",English and Spanish speaking countries,"The exact origin and etymology of the name Braulio is unclear, although it is a Spanish name which stems from an ancient Germanic root name meaning ""shine"" or ""fire"". It is found more commonly as a surname than as a given name.<br />
<br />
Braulio, Bis"
396,Braxton,Boy,15,Bracc's settlement,English speaking countries,
397,Brayan,Boy,18,"Noble, strong, virtuous",English speaking countries,"Possible respelling of Bryan. A modern American English coinage likely created as a response to the popularity of names ending in ""aden"" or ""ayan""."
398,Brayden,Boy,15,"Broad, wide",English speaking countries,Trendy modern respelling of the traditional form Braden.
399,Braydon,Boy,15,"Broad, wide",English speaking countries,Trendy modern respelling of the legitimate form Braden.
400,Braylen,Boy,15,N/A,English speaking countries,"Modern trendy coinage that came into being with the popularity of name like Brandon, Braydon, Kaylen etc.<br />
<br />
The exact meaning of this name is unknown and has no traceble etymolgy. On can assume there is some sort of tie to Braden or Brandon,"
401,Braylon,Boy,15,N/A,English speaking countries,"Modern trendy coinage that came into being with the popularity of name like Brandon, Braydon, Kaylen etc.<br />
<br />
The exact meaning of this name is unknown and has no traceable etymology. One can assume there is some sort of tie to Braden or Brando"
402,Brea,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,
403,Breana,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,Modern variant of Briana.
404,Breann,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,
405,Breanna,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,Modern variant of Brianna
406,Breanne,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,
407,Bree,Girl,18,The exalted one,English speaking countries,Nickname for names beginning with 'Bri' or the 'Bree' sound such as Bridget or Brianna.
408,Brenda,Girl,31,Sword,English speaking countries,"Possibly from the Old Norse word 'brand' meaning 'sword', or a feminine form of Brendan. The name was used first in Scotland, and has since spread to the rest of the world.<br />
<br />
Brenda Lee is an American country singer and Brenda Blethyn is an E"
409,Brendan,Boy,18,Prince,English speaking countries,"Brendan is an Irish saint whose travels are narrated in the immram ""The Voyage of St. Brendan""."
410,Brenden,Boy,18,Prince,English speaking countries,Respelling of Brendan.
411,Brendon,Boy,18,Prince,English speaking countries,Respelling of Brendan.
412,Brenna,Girl,48,Hill,English speaking countries,"Brenna's origins and meanings are still very much up for debate, but the Welsh origin seems the most likely."
413,Brennan,Both,18,Descendant of Braonán,English speaking countries,
414,Brennen,Boy,18,Descendant of Braonán,English speaking countries,This name reached #534 in the United States in 2005.
415,Brennon,Boy,18,Descendant of Braonán,English speaking countries,
416,Brent,Boy,15,Burnt; steep,English speaking countries,"Originated as a surname for those who lived by or in an area that had been burned.  Also comes from a old Celtic word that meant ""steep"" or ""steep hill"" and was granted to those living on one. <br />
<br />
It was also a reference to those who had been"
417,Brenton,Boy,15,Settlement associated with Bryni,English speaking countries,
418,Breonna,Girl,18,"Noble, strong, virtuous",English speaking countries,Breonna is an American phonetic respelling of the name Brianna.
419,Bret,Boy,15,A Breton,English speaking countries,
420,Brett,Both,15,A Breton,English speaking countries,"A surname from the Old French 'Bret', meaning a Breton (someone from Brittany)."
421,Bria,Girl,18,"Noble, strong, virtuous",English speaking countries,Bria is a diminutive form of Briana. It has also been used as an independent name.
422,Brian,Boy,18,"Noble, strong, virtuous; hill",English and Gaelic speaking countries,"The name Brian has historically enjoyed popularity in Ireland, no doubt influenced by Brian Boru, a great High King of Ireland. The name is shared by Queen guitarist Brian May, 'The Beach Boys' songwriter Brian Wilson, former Canadian Prime Minister Brian"
423,Briana,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,Modern feminine form of Brian
424,Brianna,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,Modern feminine form of Brian
425,Brianne,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,
426,Brice,Boy,17,Dappled; freckled,English and French speaking countries,"Brice probably comes from the Gaulish adjective ""brictio"", meaning ""spotted, dappled"", and which gave ""brizh"" in modern Breton. <br />
<br />
The name might have been originally attributed to boys who were born with freckles.<br />
<br />
[breess] is"
427,Bridger,Boy,15,Builder of bridges,English speaking countries,
428,Bridget,Girl,18,The exalted one,English speaking countries,"Bríd was the name of a Celtic fire goddess. St Brigid or Bridget of Kildare was a 5th century saint, who formed the monastery at Kildare. Many of the qualities associated with Bríd have since become associated with her. <br />
<br />
St Bridget or Birgi"
429,Bridgette,Girl,18,The exalted one,English speaking countries,Elaboration of Bridget.
430,Briella,Girl,23,God is my might,English speaking countries,Modern creation extrapolated from the name Gabrielle.
431,Brielle,Girl,23,God is my might,English speaking countries,"Short form of Gabrielle or a combination of 'Bri' from Bridget or Brittany with the 'elle' suffix.<br />
<br />
Brielle is the name of a town in the Netherlands."
432,Brigitte,Girl,18,Strength,"English, French and German speaking countries","This name may also mean ""exalted one""<br />
<br />
Pre-Christian Irish mythology refers to Bríghid as the goddess of poetry and wisdom.  She was the daughter of the god Dagda."
433,Briley,Both,15,N/A,English speaking countries,"The first name Briley may be an elaboration on the name Riley; alternatively, it might be derived from a surname like Briarly or Briarley. There seems to be no true etymology for the name and is of modern creation."
434,Brisa,Girl,42,Breeze,English speaking countries,"From the Spanish vocabulary word meaning ""breeze"". Brisa does not appear to be a first name in Spanish-speaking country."
435,Britany,Girl,15,Land of the Britons,English speaking countries,Modern respelling of Brittany.
436,Britney,Girl,15,Land of the Britons,English speaking countries,Respelling of Brittany borne by American pop star Britney Spears.
437,Britt,Girl,18,The exalted one,English and Swedish speaking countries,
438,Britta,Girl,18,The exalted one,English and Swedish speaking countries,
439,Brittani,Girl,15,Land of the Britons,English speaking countries,A respelling of Brittany that enjoyed the bulk of its popularity during the 1980s and 1990s.
440,Brittany,Girl,15,Land of the Britons,English speaking countries,"The English name for the French province of Bretagne, named for the Briton settlers who arrived after the Anglo-Saxon invasion of England.<br />
<br />
Brittany joined the US top 1000 in 1971 and experienced it's highest popularity (3rd most popular gir"
441,Brittney,Girl,15,Land of the Britons,English speaking countries,One of the many respellings of Brittany that enjoyed immense popularity in the US during the '80s and '90s.
442,Brock,Boy,15,Badger,English speaking countries,
443,Broderick,Boy,48,Reddish-brown,English speaking countries,
444,Brodie,Boy,18,Muddy place,English speaking countries,
445,Brody,Boy,18,Muddy place,English speaking countries,
446,Brogan,Boy,18,Shoe,English speaking countries,
447,Bronson,Boy,15,Brown's son,English speaking countries,
448,Bronwyn,Both,48,White breast,English speaking countries,
449,Brook,Both,15,"A brook, stream",English speaking countries,
450,Brooke,Both,15,"A brook, stream",English speaking countries,"Transferred use of the surname. <br />
<br />
Bearers include the actress Brooke Shields and philanthropist Brooke Astor."
451,Brooklyn,Both,14,"Uncertain, perhaps broken land",English speaking countries,"Brooklyn is a borough of New York City.  The name comes from the Dutch ""Breukelen,"" probably meaning ""broken land.""  The name has become extremely popular in the U.S., perhaps due to its similarity to two existing names, Brooke and Lynn.  British celebrit"
452,Brooklynn,Girl,14,"Uncertain, perhaps broken land",English speaking countries,Altered spelling of the place name Brooklyn.  The popularity of this name is probably reinforced as a name smush of Brooke and Lynn.
453,Brooks,Boy,15,"A brook, stream",English speaking countries,
454,Bruce,Boy,15,N/A,English speaking countries,
455,Bruno,Boy,20,Armour; brown; shining,English and German speaking countries,"In origin a Germanic name derived from the Gothic 'brunjô', 'armour'. Aside from this the interpretation 'brown' is too among the possibilities. Sometimes the name is associated with the element 'bert', 'shining'. <br />
<br />
Saint Bruno was the found"
456,Bryan,Boy,18,"Noble, strong, virtuous; hill",English speaking countries,"A common respelling of the name ""Brian,"" Bryan also occurs quite regularly as a surname."
457,Bryana,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,
458,Bryanna,Girl,18,"Noble, strong, virtuous; hill",English speaking countries,Modern feminine form of Bryan
459,Bryant,Boy,18,"Noble, strong, virtuous",English speaking countries,Surname of American sports celebrity Kobe Bryant and newscaster Bryant Gumble.
460,Bryce,Boy,17,Dappled; freckled,English speaking countries,
461,Brycen,Boy,15,Son of Brice,English speaking countries,Respelling of Bryson.
462,Bryden,Boy,18,N/A,English speaking countries,"This is a traditional Scottish surname, sometimes also found as Bryden or Briden. In the latest trend of finding names that end with the ""den"" or ""dan"" suffix, this surname has been brought to light and become trendy as a first name.  The meaning of the s"
463,Brylee,Both,48,N/A,English speaking countries,"Modern coinage with no known etymology, possibly modeled on Rylee or surnames like Briarly or Briarley."
464,Brynn,Both,48,Hill,English speaking countries,"From the Welsh 'bryn' meaning 'hill', Brynn is a modern respelling that has become popular as a girl's name."
465,Bryson,Boy,15,Son of Brice,English speaking countries,"Author Bill Bryson is a famous bearer of Bryson as a surname. Bryson is relatively popular in the southern states of the USA, in particular being the 49th most popular name in South Carolina in 2006."
466,Buddy,Boy,15,Thickset person; beetle,English speaking countries,"Buddy may be taken as a variant of the surname Budd.<br />
It is also the English vocabulary word for ""a good friend"".<br />
Drummer Buddy Rich, ground dbreaking rock-n-roller Buddy Holly, actor and comedian Buddy Hackett, actor Buddy Ebsen and baseball"
467,Byron,Boy,15,At the cattle sheds,English speaking countries,This surname came from the Old English 'byre' (byre) and was used to refer to someone who lived at the cattle sheds or was employed there.
468,Cade,Boy,15,"Round, lumpy; gentle; barrel-maker",English speaking countries,"Cade is a surname with three separate English origins. It may be from an Old English first name which originally denoted something round or lumpy and swollen. Cade may also be derived from the Middle English word for barrel, thus denoting a barrel-maker."
469,Caden,Boy,15,N/A,English speaking countries,"The meaning and origin of Caden is unknown, though it is possible that it is derived from a Gaelic surname ultimately meaning ""battle."""
470,Cadence,Girl,15,Rhythm,English speaking countries,"Cadence means flow or rhythm as applied to language, music, or movement. In music, a cadence is a sequence of notes which indicates the end of a phrase. In the military, a cadence is a chant performed while marching or drilling.  This noun has recently be"
471,Caelan,Boy,18,Slender,English speaking countries,
472,Caiden,Boy,15,N/A,English speaking countries,A respelling of the name Caden.
473,Cailyn,Girl,18,Descendant of Caollaidhe,English speaking countries,
474,Cain,Both,23,A spear,English and Welsh speaking countries,"Cain has four separate origins. From the Hebrew, it means 'a spear'. In Jewish, Christian and Islamic tradition, Cain was the world's first murderer. In Welsh Cain is a feminine name meaning 'beautiful' or 'fair' (this usage is completely unrelated to the"
475,Caitlyn,Girl,18,Pure,English speaking countries,Caitlyn is a modern respelling of the traditional Irish Caitlin.
476,Caitlynn,Girl,18,Pure,English speaking countries,
477,Cale,Boy,18,"Uncertain, perhaps ""slender""",English speaking countries,
478,Caleb,Boy,23,Dog; Heart,English and Hebrew speaking countries,"In the Old Testament, Caleb and Joshua were among the Israelites who left Egypt for Canaan with Moses. They were the only two who lived to see the promised land.  Caleb is sometimes translated as ""faithful"" or ""loyal,""  probably because a dog displays the"
479,Caleigh,Girl,18,Descendant of Caollaidhe,English speaking countries,
480,Cali,Girl,15,N/A,English speaking countries,"A nickname for Cal-names such as Calandra, Calanthe, Calista etc."
481,Calista,Girl,21,Most beautiful,English speaking countries,
482,Calla,Girl,21,Beautiful,English speaking countries,"Calla is a botanical name derived from the calla lily.  ""Calla"" is probably taken from the Greek ""kallos,"" beautiful."
483,Callie,Girl,21,Most beautiful,English speaking countries,Nickname for Cal- names.
484,Callista,Girl,21,Most beautiful,English speaking countries,
485,Callum,Boy,27,Dove,English speaking countries,"Callum was the 13th most popular boy's name in the UK in 2006, but is extremely rare in the US."
486,Calum,Boy,27,Dove,English speaking countries,
487,Calvin,Boy,17,Bald,English speaking countries,"Originally a French surname; based on the Picard dialect form of the word 'chauve' meaning 'bald'. <br />
<br />
John Calvin was a church reformer of the 16th century, after whom the Christian group Calvinism is named. Calvinists believe in predestinati"
488,Camden,Boy,15,"Uncertain, perhaps ""winding valley""",English speaking countries,"A place name used as both surname and, occasionally, first name, possibly meaning 'winding valley'. Camden is a famously bohemian area of London."
489,Cameron,Both,18,Crooked nose,English speaking countries,"Cameron is used both as a surname and a given name; the Camerons are a clan from the Scottish Highlands. The name is believed to be from the Gaelic 'cam' (crooked) and 'srón' (nose).<br />
<br />
Cameron Crowe is a film director, and Cameron Mackintosh"
490,Camila,Girl,27,Altar server,English and Spanish speaking countries,
491,Camilla,Girl,27,Altar server,English speaking countries,"Camilla was the name of a legendary female warrior who chose to fight against Aeneas when he landed in Italy, and was killed on the battlefield. She one of the few strong female characters in Vergil's Aeneid. <br />
<br />
Camillus and camilla were two"
492,Camille,Both,27,Altar server,English and French speaking countries,"Camille is a unisex name in French-speaking contexts, but is generally feminine in the English-speaking world.<br />
<br />
Camillus and camilla were two Latin nouns designating children helping at religious services, much like altar boys. These young b"
493,Campbell,Boy,18,Crooked mouth,English speaking countries,"The surname of a Scottish clan now also used as a first name. The meaning is unsure, but the name is often taken to be derived from 'cam' (crooked) and 'beul' (mouth)."
494,Camren,Boy,18,Crooked nose,English speaking countries,"Camren is a modern invention, inspired by the surname Cameron."
495,Camron,Boy,18,Crooked nose,English speaking countries,"Camron is a modern form of Cameron, used mostly in the US."
496,Camryn,Both,18,Crooked nose,English speaking countries,Modern respelling of the Scottish clan name Cameron.
497,Candace,Girl,21,Fire-white,English speaking countries,
498,Candice,Girl,21,Fire-white,English and French speaking countries,
499,Candis,Girl,21,Fire-white,English speaking countries,
500,Candy,Girl,27,Honest,English speaking countries,
501,Cannon,Boy,15,Canon; a clergyman,English speaking countries,
502,Caoimhe,Girl,18,Gentleness; beauty,English speaking countries,
503,Cara,Girl,18,Friend,English speaking countries,
504,Carey,Boy,18,Well loved; stoney; castle dweller,English speaking countries,
505,Cari,Girl,19,Free man,English speaking countries,A nickname for Car-names such as Caroline or Carlotta.
506,Carina,Girl,27,Beloved,English speaking countries,Most probably a form of Cara; which means beloved. It could also be a form of Catherine through Carin in which case it would mean 'pure'.
507,Carissa,Girl,17,Caress,English speaking countries,
508,Carl,Boy,19,Man,English and German speaking countries,Old fashioned German spelling variant of Karl.
509,Carla,Girl,19,Man,English speaking countries,
510,Carley,Girl,19,Free man,English speaking countries,A modern feminine form of Carl or a pet form of names such as Carlene. Also often found as a surname.
511,Carli,Girl,19,Free man,English speaking countries,A modern feminine form of Carl or a pet form of names such as Carlene.
512,Carlie,Girl,19,Free man,English speaking countries,A modern feminine form of Carl or a pet form of names such as Carlene.
513,Carlo,Boy,19,Free man,English and Italian speaking countries,
514,Carlos,Boy,19,Free man,"English, Portuguese and Spanish speaking countries","Carlos I of Portugal was the penultimate King there. He was assassinated in 1908, along with his son and heir. Carlos Slim Helú is a Mexican businessman, he has recently been reported as the richest man in the world.<br />
<br />
Carlos was the 11th mos"
515,Carlton,Boy,15,Peasants' town,English speaking countries,
516,Carly,Girl,19,Free man,English speaking countries,A modern feminine form of Carl or a pet form of names such as Carlene.
517,Carmelo,Boy,23,Garden; orchard,English and Spanish speaking countries,
518,Carmen,Girl,23,Garden; orchard,English and Spanish speaking countries,"To create this name the spelling of Carmel was altered to fit the Latin noun 'carmen' (song). Carmen is the name of a famous opera by Bizet.<br />
<br />
Carmen Electra (born Tara Leigh Patrick), is an American glamor model, actress, television personal"
519,Carmine,Boy,23,Garden; orchard,English and Italian speaking countries,
520,Carol,Both,20,Free man,English speaking countries,"Carol was occasionally used as a boys' name in the early twentieth century, but it is almost exclusively feminine today.  It may come directly from the Latin ""Carolus,"" or it may simply be a shortened form of Caroline.<br />
<br />
Two examples of it be"
521,Carolina,Girl,19,Free man,"English, Italian, Portuguese and Spanish speaking countries","Feminine form of the Latin Carolus, from the name Charles.<br />
It is now the Italian, Spanish and Portuguese cognate of the name.<br />
<br />
The states of North and South Carolina in the USA were named after King Charles I of England."
